name,parent,type,size
HomeW8.py,,File,1701
Task8_1,,Directory,1683
task7_3.txt,Task8_1,File,498
task8_1.json,Task8_1,File,166
task8_1.py,Task8_1,File,1019
Task8_2,,Directory,14200
converted_users.csv,Task8_2,File,372
processed_users.json,Task8_2,File,768
processed_users.pkl,Task8_2,File,461
task8_2.py,Task8_2,File,3188
task8_3.py,Task8_2,File,1552
task8_4.py,Task8_2,File,2545
task8_5.py,Task8_2,File,1250
task8_6.py,Task8_2,File,1541
task8_7.py,Task8_2,File,1215
users_2046e13dc01e4b019202b9d0c230cd43.csv,Task8_2,File,79
users_b3e5548d01d8491fa1375cf37d986e3e.json,Task8_2,File,768
users_b3e5548d01d8491fa1375cf37d986e3e.pkl,Task8_2,File,461
